0.7837403045, 0.5590778684, 16.07704633, 0.682862597, 0.4763328296, 2727.511672, 0.96, 3268.96875, 3.021175582, 3
0.3952065623, 0.5580811335, 31.46781222, 0.6982389262, 0.4757809843, 1393.5218, 0.9396017897, 1648.854515, 3.107994034, 3
0.3150056067, 0.5102480376, 39.45427555, 0.6951851872, 0.434498318, 1005.264364, 0.9406285042, 1316.673862, 3.093737385, 3
0.2917741803, 0.5475404259, 41.17198536, 0.7035571617, 0.4653350358, 1001.588681, 0.9361617037, 1220.661498, 3.139191482, 4
0.1846927278, 0.5651798467, 63.16435238, 0.6731373716, 0.4803438774, 651.7910098, 0.9691007664, 766.7483814, 2.966136475, 4
0.286436932, 0.5531876893, 40.17753717, 0.7055499091, 0.4700376591, 992.2261816, 0.9328750757, 1198.113094, 3.14987447, 4
0.3776439531, 0.5548474607, 39.71302324, 0.6860790809, 0.4708474607, 1307.314068, 0.9558192263, 1576.236185, 3.040903869, 4
0.4652247586, 0.5524804119, 26.28028432, 0.6976513195, 0.4684804119, 1609.557268, 0.9426689552, 1944.307012, 3.106655224, 4
0.3630113839, 0.5477353749, 35.12475705, 0.7055292502, 0.4654750687, 1252.87461, 0.9334707498, 1516.61797, 3.150043189, 4
0.1542541575, 0.5615125491, 73.22228285, 0.6581014513, 0.4774100393, 537.6610404, 0.9874372545, 637.5824917, 2.881788629, 4
0.6723563225, 0.5679015774, 25.25029567, 0.6796488335, 0.4825212619, 2373.870898, 0.9585905355, 2790.941639, 3.000850477, 4
0.3377642285, 0.5559252911, 45.82959097, 0.6808096879, 0.4719252911, 1169.6883, 0.9618071729, 1408.635953, 3.010964136, 4
0.4388529444, 0.5531931637, 30.32507122, 0.6941667554, 0.4691931637, 1518.547583, 0.946628687, 1833.475702, 3.086856565, 4
0.3392161785, 0.5629275704, 37.15479924, 0.6982745941, 0.4777772999, 1188.948133, 0.94, 1416.688069, 3.108497294, 4
0.7132994669, 0.5676128387, 23.20463989, 0.6780318969, 0.482290271, 2517.470459, 0.9603229676, 2960.471089, 2.99161084, 4
0.2443953574, 0.5709196378, 46.63265001, 0.6965499718, 0.4849357103, 872.8868454, 0.9404821731, 1018.923691, 3.09742841, 4
